#C'dt(s)', 'V_DC(V)', '', '', '', '', '', '', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#I'TIME[].dt', 'HP34401A.V_DC', 'KT2400.Voltage', 'KT2400.Voltage', '', '', '', '', '', '', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#P'dt', 'V_DC', 'col 1', 'col 2', 'col 3', 'col 4', 'col 5', 'col 6', 'CH1_R', 'CH2_R', 'CH3_R', 'CH5_R', 'CH6_R', 'CH1_P', 'CH2_P', 'CH3_P', 'CH5_P', 'CH6_P', 'CH1_T', 'CH2_T', 'CH3_T', 'CH5_T', 'CH6_T', 'p1', 'p2', 'p3', 'p4', 'p5', 'p6', 'Flow'
#T'1562869078.2531958'
8.368154594322204590e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368154699026584625e+06 nan 6.400000000000000355e+00 6.400000000000000355e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368154799773216248e+06 nan 6.400000000000000355e+00 6.400000000000000355e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368154900494813919e+06 nan 6.400000000000000355e+00 6.400000000000000355e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155000537872314e+06 nan 6.400000000000000355e+00 6.400000000000000355e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155101269960403e+06 nan 6.400000000000000355e+00 6.400000000000000355e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155205974102020e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155306718587875e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155407444715500e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155507507562637e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155608331680298e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155714282989502e+06 nan 7.299999999999999822e+00 7.299999999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155815029144287e+06 nan 7.299999999999999822e+00 7.299999999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368155915760517120e+06 nan 7.299999999999999822e+00 7.299999999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156016121149063e+06 nan 7.299999999999999822e+00 7.299999999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156116851806641e+06 nan 7.299999999999999822e+00 7.299999999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156223541021347e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156323750734329e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156424481868744e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156525429248810e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156625858545303e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156732661962509e+06 nan 8.199999999999999289e+00 8.199999999999999289e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156833415746689e+06 nan 8.199999999999999289e+00 8.199999999999999289e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368156934214591980e+06 nan 8.199999999999999289e+00 8.199999999999999289e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157034920454025e+06 nan 8.199999999999999289e+00 8.199999999999999289e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157135650634766e+06 nan 8.199999999999999289e+00 8.199999999999999289e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157243338346481e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157343464612961e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157444404363632e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157545129299164e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157645874738693e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157753562450409e+06 nan 9.099999999999999645e+00 9.099999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157854200839996e+06 nan 9.099999999999999645e+00 9.099999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368157954922437668e+06 nan 9.099999999999999645e+00 9.099999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158055663108826e+06 nan 9.099999999999999645e+00 9.099999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158156393527985e+06 nan 9.099999999999999645e+00 9.099999999999999645e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158264082193375e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158364836215973e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158465549707413e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158566134691238e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158666864871979e+06 nan 1.000000000000000000e+00 1.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158774551391602e+06 nan 1.000000000000000000e+01 1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158874796390533e+06 nan 1.000000000000000000e+01 1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368158975740671158e+06 nan 1.000000000000000000e+01 1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159076480150223e+06 nan 1.000000000000000000e+01 1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159177211761475e+06 nan 1.000000000000000000e+01 1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159284898519516e+06 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159384991168976e+06 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159485707044601e+06 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159586541175842e+06 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
8.368159687301397324e+06 nan 0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.135333574680423737e+07 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.550000000000000149e-06 1.190000000000000085e-02 6.310000000000000000e+02 6.310000000000000000e+02 8.089999999999999858e+00 7.980000000000000426e+00 nan
1.135333974680423737e+07 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.105360000000000009e-01
